"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","now_cost","position_index","fpl_to_game"
"1","Ederson Santana de Moraes","Goalkeeper","1993-08-17T00:00:00Z",25,"Brazil","Manchester City","Premier League","2018/2019",2018,"Ederson","Santana de Moraes",0,1,169,3420,23,33,535.2,0,6,700,56.8,20,0,2,22.9,57,"1",4.44736842105263
"2","Claudio Bravo","Goalkeeper","1983-04-13T00:00:00Z",36,"Chile","Manchester City","Premier League","2018/2019",2018,"Claudio","Bravo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,48,"1",NA
"3","John Stones","Centre-Back","1994-05-28T00:00:00Z",25,"England","Manchester City","Premier League","2018/2019",2018,"John","Stones",0,0,83,1761,15,115.5,376.6,49,9,431,54.1,9,0,1,4.6,52,"2",4.24190800681431
"4","Aymeric Laporte","Centre-Back","1994-05-27T00:00:00Z",25,"France","Manchester City","Premier League","2018/2019",2018,"Aymeric","Laporte",3,3,177,3056,21,239.3,790,278,16,768,131.2,18,0,3,16.7,63,"2",5.21269633507853
"5","Nicolás Otamendi","Centre-Back","1988-02-12T00:00:00Z",31,"Argentina","Manchester City","Premier League","2018/2019",2018,"Nicolás","Otamendi",0,0,70,1233,7,53.7,281.2,143,5,335,47.8,9,0,1,2.6,60,"2",5.10948905109489
"6","Vincent Kompany","Centre-Back","1986-04-10T00:00:00Z",33,"Belgium","Manchester City","Premier League","2018/2019",2018,"Vincent","Kompany",1,0,58,1220,7,44.2,329,55,4,294,43,6,0,6,1.7,52,"2",4.27868852459016
"7","Philippe Sandler","Centre-Back","1997-02-10T00:00:00Z",22,"Netherlands","Manchester City","Premier League","2018/2019",2018,"Philippe","Sandler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"8","Benjamin Mendy","Left-Back","1994-07-17T00:00:00Z",24,"France","Manchester City","Premier League","2018/2019",2018,"Benjamin","Mendy",0,6,59,900,6,222.7,250.8,70,6,262,54.2,4,0,1,5.9,61,"2",5.9
"9","Oleksandr Zinchenko","Left-Back","1996-12-15T00:00:00Z",22,"Ukraine","Manchester City","Premier League","2018/2019",2018,"Oleksandr","Zinchenko",0,3,44,1151,4,278.6,279.2,77,1,230,63.5,9,0,1,0.2,47,"2",3.44048653344917
"10","Kyle Walker","Right-Back","1990-05-28T00:00:00Z",29,"England","Manchester City","Premier League","2018/2019",2018,"Kyle","Walker",1,1,150,2776,17,448.4,498.8,183,11,684,113.1,18,0,3,12.1,64,"2",4.86311239193084
"11","Danilo Luiz da Silva","Right-Back","1991-07-15T00:00:00Z",27,"Brazil","Manchester City","Premier League","2018/2019",2018,"Danilo Luiz","da Silva",1,0,46,805,7,118,165.2,99,7,202,38.2,4,0,1,0.6,48,"2",5.14285714285714
"12","Fernando Luiz Rosa","Defensive Midfield","1985-05-04T00:00:00Z",34,"Brazil","Manchester City","Premier League","2018/2019",2018,"Fernando","Luiz Rosa",1,3,79,2375,15,396.8,534.6,208,4,444,114.2,12,0,5,2.9,53,"3",2.99368421052632
"13","Ilkay Gündogan","Central Midfield","1990-10-24T00:00:00Z",28,"Germany","Manchester City","Premier League","2018/2019",2018,"Ilkay","Gündogan",6,3,113,2129,15,819.7,548.8,447,10,528,181.6,13,0,3,2.3,54,"3",4.77689055894786
"14","Phil Foden","Central Midfield","2000-05-28T00:00:00Z",19,"England","Manchester City","Premier League","2018/2019",2018,"Phil","Foden",1,0,25,328,0,133.8,85,208,3,93,42.6,2,0,0,0.2,45,"3",6.85975609756098
"15","Fabian Delph","Central Midfield","1989-11-21T00:00:00Z",29,"England","Manchester City","Premier League","2018/2019",2018,"Fabian","Delph",0,1,29,722,9,97.8,153.8,24,2,186,27.5,3,1,1,0.3,53,"3",3.61495844875346
"16","Kevin De Bruyne","Attacking Midfield","1991-06-28T00:00:00Z",27,"Belgium","Manchester City","Premier League","2018/2019",2018,"Kevin","De Bruyne",2,3,59,968,3,562.3,301.4,317,8,268,117.9,6,0,2,3.4,96,"4",5.48553719008264
"17","David Silva","Attacking Midfield","1986-01-08T00:00:00Z",33,"Spain","Manchester City","Premier League","2018/2019",2018,"David","Silva",6,8,143,2399,14,1150.3,715.2,1092,14,614,295.8,16,0,2,4.4,85,"4",5.36473530637766
"18","Leroy Sané","Left Winger","1996-01-11T00:00:00Z",23,"Germany","Manchester City","Premier League","2018/2019",2018,"Leroy","Sané",10,12,156,1857,14,645,716.8,1039,13,520,240.3,9,0,1,7.3,93,"4",7.56058158319871
"19","Raheem Sterling","Right Winger","1994-12-08T00:00:00Z",24,"England","Manchester City","Premier League","2018/2019",2018,"Raheem","Sterling",17,15,234,2770,19,937.4,1060,1572,25,743,357.1,17,0,3,24.8,117,"4",7.6028880866426
"20","Riyad Mahrez","Right Winger","1991-02-21T00:00:00Z",28,"Algeria","Manchester City","Premier League","2018/2019",2018,"Riyad","Mahrez",7,4,102,1331,9,450.8,459.4,731,14,349,164.1,4,0,0,1.7,82,"4",6.89706987227648
"21","Sergio Agüero","Centre-Forward","1988-06-02T00:00:00Z",31,"Argentina","Manchester City","Premier League","2018/2019",2018,"Sergio","Agüero",21,11,201,2457,15,523.7,946.6,1685,26,740,315.4,17,0,4,42.7,120,"5",7.36263736263736
"22","Gabriel Fernando de Jesus","Centre-Forward","1997-04-03T00:00:00Z",22,"Brazil","Manchester City","Premier League","2018/2019",2018,"Gabriel Fernando","de Jesus",7,3,79,1017,11,300.5,395.2,864,7,259,156.3,2,0,1,1.6,99,"5",6.99115044247788
"23","Kepa Arrizabalaga","Goalkeeper","1994-10-03T00:00:00Z",24,"Spain","Chelsea FC","Premier League","2018/2019",2018,"Kepa","Arrizabalaga",0,0,142,3240,39,0.1,681,0,7,685,68,14,0,2,4.9,54,"1",3.94444444444444
"24","Willy Caballero","Goalkeeper","1981-09-28T00:00:00Z",37,"Argentina","Chelsea FC","Premier League","2018/2019",2018,"Willy","Caballero",0,0,13,180,0,1,24.6,0,0,45,2.6,2,0,0,0.1,47,"1",6.5
"25","Antonio Rüdiger","Centre-Back","1993-03-03T00:00:00Z",26,"Germany","Chelsea FC","Premier League","2018/2019",2018,"Antonio","Rüdiger",1,2,116,2871,35,143.6,566.8,273,9,609,98.5,12,0,7,2.9,59,"2",3.63636363636364
"26","Andreas Christensen","Centre-Back","1996-04-10T00:00:00Z",23,"Denmark","Chelsea FC","Premier League","2018/2019",2018,"Andreas","Christensen",0,0,22,615,7,8.4,120.6,6,0,133,13.6,3,0,1,0.4,50,"2",3.21951219512195
"27","Kurt Zouma","Centre-Back","1994-10-27T00:00:00Z",24,"France","Chelsea FC","Premier League","2018/2019",2018,"Kurt","Zouma",2,2,112,2613,39,83.7,565.2,235,12,543,88.8,10,1,3,1,50,"2",3.85763490241102
"28","Gary Cahill","Centre-Back","1985-12-19T00:00:00Z",33,"England","Chelsea FC","Premier League","2018/2019",2018,"Gary","Cahill",0,0,2,22,0,0,4.8,0,0,6,0.5,0,0,0,0.5,50,"2",8.18181818181818
"29","Ethan Ampadu","Centre-Back","2000-09-14T00:00:00Z",18,"Wales","Chelsea FC","Premier League","2018/2019",2018,"Ethan","Ampadu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"2",NA
"30","Marcos Alonso","Left-Back","1990-12-28T00:00:00Z",28,"Spain","Chelsea FC","Premier League","2018/2019",2018,"Marcos","Alonso",2,8,161,2759,28,520.1,619,475,21,702,161.7,14,0,6,22.1,62,"2",5.25190286335629
"31","Emerson Palmieri dos Santos","Left-Back","1994-08-03T00:00:00Z",24,"Italy","Chelsea FC","Premier League","2018/2019",2018,"Emerson","Palmieri dos Santos",0,0,22,660,11,113.8,104.6,81,1,130,30,2,0,0,0.2,52,"2",3
"32","César Azpilicueta","Right-Back","1989-08-28T00:00:00Z",29,"Spain","Chelsea FC","Premier League","2018/2019",2018,"César","Azpilicueta",1,6,158,3402,39,525.1,815,286,11,822,163.2,16,0,4,9.6,64,"2",4.17989417989418
"33","Davide Zappacosta","Right-Back","1992-06-11T00:00:00Z",27,"Italy","Chelsea FC","Premier League","2018/2019",2018,"Davide","Zappacosta",0,0,9,125,0,14.7,17.4,29,0,30,6.1,1,0,0,0.1,50,"2",6.48
"34","Jorge Luiz Frello Filho","Defensive Midfield","1991-12-20T00:00:00Z",27,"Italy","Chelsea FC","Premier League","2018/2019",2018,"Jorge Luiz","Frello Filho",2,0,96,3156,37,628.4,691.4,122,4,577,144.2,16,0,8,5.8,46,"3",2.73764258555133
"35","N'Golo Kanté","Central Midfield","1991-03-29T00:00:00Z",28,"France","Chelsea FC","Premier League","2018/2019",2018,"N'Golo","Kanté",4,4,116,3092,38,766.3,683.6,412,3,563,186.4,14,0,3,15.8,49,"3",3.3764553686934
"36","Mateo Kovacic","Central Midfield","1994-05-06T00:00:00Z",25,"Croatia","Chelsea FC","Premier League","2018/2019",2018,"Mateo","Kovacic",0,2,64,1725,19,468.8,315.4,311,2,343,109.9,9,0,3,0.7,57,"3",3.33913043478261
"37","Ross Barkley","Central Midfield","1993-12-05T00:00:00Z",25,"England","Chelsea FC","Premier League","2018/2019",2018,"Ross","Barkley",3,5,79,1231,13,349,324,429,5,300,110,7,0,1,1.3,50,"3",5.77579203899269
"38","Ruben Loftus-Cheek","Central Midfield","1996-01-23T00:00:00Z",23,"England","Chelsea FC","Premier League","2018/2019",2018,"Ruben","Loftus-Cheek",6,2,79,980,9,254.9,391.6,346,6,292,99.4,5,0,0,0.8,52,"3",7.25510204081633
"39","Robert Kenedy Nunes do Nascimento","Left Midfield","1996-02-08T00:00:00Z",23,"Brazil","Chelsea FC","Premier League","2018/2019",2018,"Robert Kenedy","Nunes do Nascimento",1,1,50,1337,18,187.9,212.8,297,1,161,69.8,6,0,1,0.5,47,"3",3.36574420344054
"40","Eden Hazard","Left Winger","1991-01-07T00:00:00Z",28,"Belgium","Chelsea FC","Premier League","2018/2019",2018,"Eden","Hazard",16,15,238,2918,35,1471.2,1306.2,1546,35,879,432.7,12,0,2,27.2,110,"4",7.34064427690199
"41","Callum Hudson-Odoi","Left Winger","2000-11-07T00:00:00Z",18,"England","Chelsea FC","Premier League","2018/2019",2018,"Callum","Hudson-Odoi",0,1,18,388,5,143.2,89.2,133,1,83,36.2,2,0,0,2.2,42,"4",4.17525773195876
"42","Willian Borges Da Silva","Right Winger","1988-08-09T00:00:00Z",30,"Brazil","Chelsea FC","Premier League","2018/2019",2018,"Willian","Borges Da Silva",3,7,108,2091,25,1165.5,557.6,742,6,475,246.7,11,0,2,3.8,71,"4",4.64849354375897
"43","Pedro Rodríguez Ledesma","Right Winger","1987-07-28T00:00:00Z",31,"Spain","Chelsea FC","Premier League","2018/2019",2018,"Pedro","Rodríguez Ledesma",8,2,112,1768,19,503.5,530.2,733,12,440,176.5,7,0,2,3.3,62,"4",5.70135746606335
"44","Gonzalo Higuaín","Centre-Forward","1987-12-10T00:00:00Z",31,"Argentina","Chelsea FC","Premier League","2018/2019",2018,"Gonzalo","Higuaín",5,0,53,1084,15,241.7,240.4,644,6,178,112,5,0,0,1.5,90,"5",4.40036900369004
